一   一,"一   一     one   イチ、イツ、ひと、ひと-つ ichi, itsu, hito, hito-tsu    Strokes: 1"
右   口,"右   口     right (direction)   ウ、ユウ、みぎ u, yū, migi    Strokes: 5"
雨   雨,"雨   雨     rain   ウ、あめ、（あま） u, ame, (ama)    Strokes: 8"
円   囗,"円   囗     round, yen   エン、まる-い en, maru-i    Strokes: 4"
王   玉,王   玉     king   オウ ō    Strokes: 4
音   音,"音   音     sound   オン、イン、おと、ね on, in, oto, ne    Strokes: 9"
下   一,"下   一     below   カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる ka, ge, shita, shimo, moto, sa-geru, sa-garu, kuda-ru, kuda-su, kuda-saru, o-rosu, o-riru    Strokes: 3"
火   火,"火   火     fire   カ、ひ、（ほ） ka, hi, (ho)    Strokes: 4"
花   艸,"花   艸     flower   カ、はな ka, hana    Strokes: 7"
貝   貝,貝   貝     shellfish   かい kai    Strokes: 7
学   子,"学   子     study   ガク、まな-ぶ gaku, mana-bu    Strokes: 8"
気   气,"気   气     feeling   キ、ケ ki, ke    Strokes: 6"
九   乙,"九   乙     nine   キュウ、ク、ここの、ここの-つ kyū, ku, kokono, kokono-tsu    Strokes: 2"
休   人,"休   人     rest   キュウ、やす-む、やす-まる、やす-める kyū, yasu-mu, yasu-maru, yasu-meru    Strokes: 6"
玉   玉,"玉   玉     ball   ギョク、たま gyoku, tama    Strokes: 5"
金   金,"金   金     gold   キン、コン、かね、（かな） kin, kon, kane, (kana)    Strokes: 8"
空   穴,"空   穴     sky   クウ、そら、あ-く、あ-ける、から kū, sora, a-ku, a-keru, kara    Strokes: 8"
月   月,"月   月     month, moon   ゲツ、ガツ、つき getsu, gatsu, tsuki    Strokes: 4"
犬   犬,"犬   犬     dog   ケン、いぬ ken, inu    Strokes: 4"
見   見,"見   見     see   ケン、み-る、み-える、み-せる ken, mi-ru, mi-eru, mi-seru    Strokes: 7"
五   二,"五   二     five   ゴ、いつ、いつ-つ go, itsu, itsu-tsu    Strokes: 4"
口   口,"口   口     mouth   コウ、ク、くち kō, ku, kuchi    Strokes: 3"
校   木,校   木     school   コウ kō    Strokes: 10
左   工,"左   工     left (direction)   サ、ひだり sa, hidari    Strokes: 5"
三   一,"三   一     three   サン、み、み-つ、みっ-つ san, mi, mi-tsu, mi'-tsu    Strokes: 3"
山   山,"山   山     mountain   サン、やま san, yama    Strokes: 3"
子   子,"子   子     child   シ、ス、こ shi, su, ko    Strokes: 3"
四   囗,"四   囗     four   シ、よ、よ-つ、よっ-つ、よん shi, yo, yo-tsu, yo'-tsu, yon    Strokes: 5"
糸   糸,"糸   糸     thread   シ、いと shi, ito    Strokes: 6"
字   子,"字   子     letter   ジ、あざ ji, aza    Strokes: 6"
耳   耳,"耳   耳     ear   ジ、みみ ji, mimi    Strokes: 6"
七   一,"七   一     seven   シチ、なな、なな-つ、（なの） shichi, nana, nana-tsu, (nano)    Strokes: 2"
車   車,"車   車     car   シャ、くるま sha, kuruma    Strokes: 7"
手   手,"手   手     hand   シュ、て、（た） shu, te, (ta)    Strokes: 4"
十   十,"十   十     ten   ジュウ、ジッ、とお、と jū, ji', too, to    Strokes: 2"
出   凵,"出   凵     exit   シュツ、（スイ）、で-る、だ-す shutsu, (sui), de-ru, da-su    Strokes: 5"
女   女,"女   女     woman   ジョ、ニョ、（ニョウ）、おんな、め jo, nyo, (nyō), onna, me    Strokes: 3"
